bs, count, timevalue
1,1,0.000210172
1,1,0.000244666
1,1,0.000214207
1,1,0.000166911
1,1,0.00015429
1,1,0.000173819
1,1,0.000304394
1,1,0.00016739
1,1,0.000186323
1,1,0.000179533
1,1,0.000228399
1,1,0.000183907
1,1,0.000172332
1,1,0.000180813
1,1,0.000174208
1,1,0.000166115
1,1,0.000156294
1,1,0.000157088
1,1,0.000161443
1,1,0.0001564
1,1,0.000163213
1,1,0.000150088
1,1,0.000153045
1,1,0.00017314
1,1,0.000157237
1,1,0.000159254
1,1,0.000161194
1,1,0.000152139
1,1,0.000153563
1,1,0.000143984
1,1,0.000149788
1,1,0.000190535
1,1,0.000176386
1,1,0.000151516
1,1,0.000147576
1,1,0.000144766
1,1,0.000160999
1,1,0.000139544
1,1,0.000152133
1,1,0.000160247
1,1,0.00016746
1,1,0.00017105
1,1,0.000175229
1,1,0.00016858
1,1,0.000160982
1,1,0.000251418
1,1,0.000191013
1,1,0.000172364
1,1,0.000179322
1,1,0.000169726
1,1,0.000170174
1,1,0.000166287
1,1,0.000171445
1,1,0.000167033
1,1,0.000156807
1,1,0.000158461
1,1,0.00016108
1,1,0.000152801
1,1,0.000155293
1,1,0.000147413
1,1,0.000152587
1,1,0.000148049
1,1,0.000155659
1,1,0.000177101
1,1,0.000143408
1,1,0.000165533
1,1,0.000146973
1,1,0.000151354
1,1,0.000137562
1,1,0.000145967
1,1,0.000151874
1,1,0.000140135
1,1,0.00014082
1,1,0.000139439
1,1,0.000156754
1,1,0.000156293
1,1,0.000155411
1,1,0.000154269
1,1,0.000156357
1,1,0.000151073
1,1,0.000163483
1,1,0.000157674
1,1,0.000174338
1,1,0.000169079
1,1,0.000287509
1,1,0.00027516
1,1,0.00016241
1,1,0.000161186
1,1,0.00017513
1,1,0.000156987
1,1,0.000176693
1,1,0.000163302
1,1,0.0001623
1,1,0.00015594
1,1,0.00016861
1,1,0.000168736
1,1,0.000145212
1,1,0.000152822
1,1,0.000154998
1,1,0.000157819
1,1,0.000153662
1,1,0.000151325
1,1,0.000156315
1,1,0.000153215
1,1,0.000147188
1,1,0.00016524
1,1,0.000162656
1,1,0.000142827
1,1,0.000160456
1,1,0.000145478
1,1,0.00015299
1,1,0.000187629
1,1,0.000186329
1,1,0.000181578
1,1,0.000167953
